Sr No,IP Trigger
21,"Modify, control & engage objects / flow in rhythm, frequency or resonance with envionmental conditions or constraints of mission 

Ex: Musical Orchestra, Just in time production system, Intake system resonance frequency tune to match engine speed, Tethered Floating Wind Turbine Farms, Flash Radiotherapy to reduced damange for Cancer Cure"
22,"Use Sacrificial Objects in the system 

Ex: Fuse in the electrical circuit, Lubrication Oil, Use and Throw paper cups"
23,"Introduce a minimal changes for Working element to achieve desired state all by ITSELF

Ex. Clothes clean and dry all by itself, Voice prompted writing, Autonous car / Robotaxis drives by itself"
24,"Use Modular & Non Uniform Structure

Ex: Pizza with base and toppings,  Bicycles with Common Frame, Plug and Play android apps"
25,"Use Phase change Material & phenomenon (Solid, Liquid, Gel, Plasma)

Ex: Refrigeration Fluid,  Phase change material for Heat storage at High Temp ,  Thermostat Wax, Dry Ice (solid CO2) for food storage"
26,"Use or Impart Elasticity, Flexibility, Controllability and Sustainability to the objects

Ex: Flexible Electronic devices, Helicopter blades, Shock absorbers, Biodegradable Plastics
"
27,"Increase no of Dynamics /kinematic Joints in the structure 

Ex: Robotic Arm,  Excavator Mechanisms, Dual Clutch transmission(DCT)"
28,"Collect more feedbacks and inputs from internal system to perform intelligent actions

Ex:  Online customer survey, Close loop system control , Compensation for performance deterioration
"
29,"Deploy more actuators in the system for higher controllability 

Ex: Electronic power steering, Electronic valves, active Suspension for Each Wheel"
30,"Make Features / properties non linear, non uniform, assymetric

Ex: Stratified Combustion,  Pnemuatic Suspension (non linear stiffness), Assymetric Tyre Pressure for better control"
31,"Modify the solution parameters to integrate with context, enviornment,  supersystem 

Ex: Text Editor equipped with Voice command & language enricher, Custom or Application specific semiconductor chips, DC fast charing,  Wearable technologies like Glass, watches, health sensors for better human experience & well being
"
32,"Use more than one material or properties of the objects to enhance ideality (Mechanical, Chemical, Thermal, Electrical etc)

Ex: Hydrogen blending to achieve better chemical and diffusion properties, Solid state electrolyte with high ionic conductivity and mechanical strength, Compsites, High Entropy Alloy"
33,"Use Proactive or Real time Counter-action in the design / mfg / assembly / commisioning 

Ex: Bicycles spokes are pre-tightened to bear higher compressive loads, Preempitive / Anticipative Cybersecurity, 
Airbags, Counter- Drones,  Emergency Shut Down  Protocols for machine"
34,"Seek Inspiration from Nature / World where similar problem arises & is already solved
Ex: Facial biometric features in car adopted from security system, High speed low noise feature for bullet train from Kingfisher Beak, Efficient Space Utilization from Honeycomb design"
35,"Use Porous Structure, Thin Films, Flexible Elements

Ex: Porous stucture for catalytic reactions, Fully Flexible wearable phone, Rotor /stator made up using thin laminations"
36,"Distribute, coordinate, control  flow,  propeties, energy sources across space and time

Ex: Domain Specific Small Lanugauge Model for AI, Electronic Brake Distrubution, Rearrange flow distribution over radiator for max heat transfer,  Use renewables during peak load and grid for normal load, Microgrids"
37,"Elliminate the manual interventions,  expensive, bulky , troubling object from the system & transfer its function

Ex: Agentic AI, AGI, Discard the used fule tanks in stages during rocket launch,  elliminate intermediaries with Blockchain, wireless sensors / charging , Automatic Transmission, Colloborative Robots (Cobots), Cloud computing"
